y value,Error Percents
-1330,4354.509986652445
-1340,4465.89036028008
-1350,4579.937329576773
-1360,4696.710385558677
-1370,4816.2702497117325
-1380,4938.678897446914
-1390,5063.999581964632
-1400,5192.296858534828
-1410,5323.636609199326
-1420,5458.08606790308
-1430,5595.713846061102
-1440,5736.589958567926
-1450,5880.785850256522
-1460,6028.374422813792
-1470,6179.430062159693
-1480,6334.028666297328
-1490,6492.2476736413
-1500,6654.166091831801
-1510,6819.864527042036
-1520,6989.425213786561
-1530,7162.932045238391
-1540,7340.470604062716
-1550,7522.128193775228
-1560,7707.993870633145
-1570,7898.1584760672
-1580,8092.714669662802
-1590,8291.756962699017
-1600,8495.381752253665
-1610,8703.687355883465
-1620,8916.774046887816
-1630,9134.744090165366
-1640,9357.70177867208
-1650,9585.753470490328
-1660,9819.007626518063
-1670,10057.57484878751
-1680,10301.567919423082
-1690,10551.101840247926
-1700,10806.293873049226
-1710,11067.263580511912
-1720,11334.132867831018
-1730,11607.02602501298
-1740,11886.069769875738
-1750,12171.393291759121
-1760,12463.128295954757
-1770,12761.409048867816
-1780,13066.372423920071
-1790,13378.157948206586
-1800,13696.907849916082
-1810,14022.767106527635
-1820,14355.883493793695
-1830,14696.407635522832
-1840,15044.493054172142
-1850,15400.296222263301
-1860,15763.976614632395
-1870,16135.696761527717
-1880,16515.622302566255
-1890,16903.922041563193
-1900,17300.768002245506
-1910,17706.335484864387
-1920,18120.80312371773
-1930,18544.352945598148
-1940,18977.17042917758
-1950,19419.444565344704
-1960,19871.367918506498
-1970,20333.13668887027
-1980,20804.950775718262
-1990,21287.013841691292
-2000,21779.533378093693
-2010,22282.720771237044
-2020,22796.791369834562
-2030,23321.96455346453
-2040,23858.46380211496
-2050,24406.516766827983
-2060,24966.355341457183
-2070,25538.215735555572
-2080,26122.338548409505
-2090,26718.96884423523
-2100,27328.356228554418
-2110,27950.754925765657
-2120,28586.4238579288
-2130,29235.62672477945
-2140,29898.632084990873
-2150,30575.713438701263
-2160,31267.14931132391
-2170,31973.223338658572
-2180,32694.224353322665
-2190,33430.44647251997
-2200,34182.18918716683
-2210,34949.75745239394
-2220,35733.46177944335
-2230,36533.6183289805
-2240,37350.549005840396
-2250,38184.58155522879
-2260,39036.0496603976
-2270,39905.29304181628
-2280,40792.65755785894
-2290,41698.49530702848
-2300,42623.16473173993
-2310,43567.030723682925
-2320,44530.46473078656
-2330,45513.844865808314
-2340,46517.55601656894
-2350,47541.98995785691
-2360,48587.54546502443
-2370,49654.628429298675
-2380,50743.65197483196
-2390,51855.03657751442
-2400,52989.21018557309
-2410,54146.608341982006
-2420,55327.67430870814
-2430,56532.85919281817
-2440,57762.622074470666
-2450,59017.430136820294
-2460,60297.75879785959
-2470,61604.09184422422
-2480,62936.921566988545
-2490,64296.74889947854
-2500,65684.0835571289
-2510,67099.44417941222
-2520,68543.35847386782
-2530,70016.36336225846
-2540,71519.005128884
-2550,73051.83957107976
-2560,74615.43215193035
-2570,76210.35815522683
-2580,77837.20284269901
-2590,79496.56161355152
-2600,81189.04016633485
-2610,82915.2546631837
-2620,84675.83189645143
-2630,86471.40945777496
-2640,88302.63590960045
-2650,90170.17095920393
-2660,92074.68563523746
-2670,94016.86246683709
-2680,95997.39566532378
-2690,98016.99130853289
-2700,100076.36752780592
-2710,102176.25469768044
-2720,104317.39562831211
-2730,106500.54576066516
-2740,108726.4733645094
-2750,110995.95973925568
-2760,113309.79941767239
-2770,115668.80037251682
-2780,118073.78422611914
-2790,120525.58646296053
-2800,123025.05664528038
-2810,125573.05863175468
-2820,128170.47079928334
-2830,130818.18626792799
-2840,133517.11312904116
-2850,136268.17467662317
