,Normal Error Percents,CKKS Error Percents
-1960,19871.367918506498,19872.513216633455
-1970,20333.13668887027,20334.30406867802
-1980,20804.950775718262,20806.153971618667
-1990,21287.013841691292,21288.23985918035
-2000,21779.533378093693,21780.789640817253
-2010,22282.720771237044,22284.005908973915
-2020,22796.791369834562,22798.105380935507
-2030,23321.96455346453,23323.312543510336
-2040,23858.46380211496,23859.850635052208
-2050,24406.516766827983,24407.92872967835
-2060,24966.355341457183,24967.79984519077
-2070,25538.215735555572,25539.697864867623
-2080,26122.338548409505,26123.854347019085
-2090,26718.96884423523,26720.522189868363
-2100,27328.356228554418,27329.947757467613
-2110,27950.754925765657,27952.380435502022
-2120,28586.4238579288,28588.090761371688
-2130,29235.62672477945,29237.329930644028
-2140,29898.632084990873,29900.377386149154
-2150,30575.713438701263,30577.49843858994
-2160,31267.14931132391,31268.980781481794
-2170,31973.223338658572,31975.098323602906
-2180,32694.224353322665,32696.136247542985
-2190,33430.44647251997,33432.40451484403
-2200,34182.18918716683,34184.20420300125
-2210,34949.75745239394,34951.809869546654
-2220,35733.46177944335,35735.568480116934
-2230,36533.6183289805,36535.76336435982
-2240,37350.549005840396,37352.75310868545
-2250,38184.58155522879,38186.823781766456
-2260,39036.0496603976,39038.35739181524
-2270,39905.29304181628,39907.651300185935
-2280,40792.65755785894,40795.06423300576
-2290,41698.49530702848,41700.959098768726
-2300,42623.16473173993,42625.68628623587
-2310,43567.030723682925,43569.610523369454
-2320,44530.46473078656,44533.09078334878
-2330,45513.844865808314,45516.53186009544
-2340,46517.55601656894,46520.30956107279
-2350,47541.98995785691,47544.80839521393
-2360,48587.54546502443,48590.43207724647
-2370,49654.628429298675,49657.587593991426
-2380,50743.65197483196,50746.670776878156
-2390,51855.03657751442,51858.128177360006
-2400,52989.21018557309,52992.367892997165
-2410,54146.608341982006,54149.83661765469
-2420,55327.67430870814,55330.97412655511
-2430,56532.85919281817,56536.227856353595
-2440,57762.622074470666,57766.068093316026
-2450,59017.430136820294,59020.948589925014
-2460,60297.75879785959,60301.36190760067
-2470,61604.09184422422,61607.784222465576
-2480,62936.921566988545,62940.684833157364
-2490,64296.74889947854,64300.59395506224
-2500,65684.0835571289,65688.02853676197
-2510,67099.44417941222,67103.47268046683
-2520,68543.35847386782,68547.46704013056
-2530,70016.36336225846,70020.56230748144
-2540,71519.005128884,71523.29448572005
-2550,73051.83957107976,73056.23280549441
-2560,74615.43215193035,74619.92811855082
-2570,76210.35815522683,76214.96672686249
-2580,77837.20284269901,77841.89767103063
-2590,79496.56161355152,79501.36477576024
-2600,81189.04016633485,81193.9558365492
-2610,82915.2546631837,82920.27450222425
-2620,84675.83189645143,84680.95614205737
-2630,86471.40945777496,86476.63623808736
-2640,88302.63590960045,88307.98691219267
-2650,90170.17095920393,90175.64335278176
-2660,92074.68563523746,92080.27155446171
-2670,94016.86246683709,94022.56543235481
-2680,95997.39566532378,96003.22936496348
-2690,98016.99130853289,98022.9457463559
-2700,100076.36752780592,100082.46431517063
-2710,102176.25469768044,102182.48165504402
-2720,104317.39562831211,104323.71700135179
-2730,106500.54576066516,106507.03048536631
-2740,108726.4733645094,108733.1137532557
-2750,110995.95973925568,111002.72033330532
-2760,113309.79941767239,113316.7100654056
-2770,115668.80037251682,115675.86870203495
-2780,118073.78422611914,118080.99939449005
-2790,120525.58646296053,120532.94184060655
-2800,123025.05664528038,123032.592625985
-2810,125573.05863175468,125580.74076832458
-2820,128170.47079928334,128178.31413916817
-2830,130818.18626792799,130826.17635966341
-2840,133517.11312904116,133525.29567722257
-2850,136268.17467662317,136276.5320372719
-2860,139072.3096419591,139080.82667259139
-2870,141930.47243156316,141939.18354632135
-2880,144843.63336848808,144852.52394177776
-2890,147812.7789370281,147821.88011517914
-2900,150838.91203087434,150848.18188677076
-2910,153923.05220474914,153932.54648928647
-2920,157066.23592958346,157075.9070726069
-2930,160269.51685126204,160279.43721577126
-2940,163533.96605300112,163544.0735851266
-2950,166860.67232138652,166870.99681286182
-2960,170250.74241613853,170261.21983358348
-2970,173705.30134362742,173716.00637468405
-2980,177225.49263421271,177236.42935638054
-2990,180812.47862343007,180823.63674268723
-3000,184467.44073709578,184478.8489310199
-3010,188191.5797803584,188203.21628798597
-3020,191986.11623076975,191997.991550319
-3030,195852.29053539853,195864.47278470232
-3040,199791.36341206793,199803.71463463217
-3050,203804.6161547382,203817.24943973974
-3060,207893.35094311647,207906.21940329988
-3070,212058.89115651508,212072.0568625306
-3080,216302.58169204643,216316.01528136042
-3090,220625.78928717086,220639.47634846336
-3100,225029.90284669035,225043.9523418895
-3110,229516.33377420576,229530.68868539095
-3120,234086.51630812924,234101.08129952906
-3130,238741.90786227456,238756.72840747278
-3140,243483.98937111325,243499.13763082563
-3150,248314.26563972604,248329.7732443857
-3160,253234.26569853464,253250.05717163553
-3170,258245.5431628463,258261.62682909812
-3180,263349.6765972976,263366.06998728245
-3190,268548.2698852304,268564.99130809505
-3200,273842.9526030881,273860.0588697705
-3210,279235.3803998681,279252.8095242804
-3220,284727.23538171797,284744.9801473784
-3230,290320.2265017102,290338.3626168034
-3240,296016.0899548915,296034.6207948
-3250,301816.5895786372,301835.47040259273
-3260,307723.51725840947,307742.7549586283
-3270,313738.6933389502,313758.2970883287
-3280,319863.9670410126,319884.0353404607
-3290,326101.2168836605,326121.63481899764
-3300,332452.35111224063,332473.2629517629
-3310,338919.3081320597,338940.64355209406
-3320,345504.05694787274,345525.72944228415
-3330,352208.5976092174,352230.73202231765
-3340,359034.9616616999,359057.51751486957
-3350,365985.2126042676,366008.16716334637
-3360,373061.44635257986,373084.8918266491
